2,2,3,14,
2,2,13,14,
3,3,4,15,
3,3,14,15,
4,4,5,16,
4,4,15,16,
5,5,6,17,
5,5,16,17,
6,6,7,18,
6,6,17,18,
7,7,8,19,
7,7,18,19,
8,8,9,20,
8,8,19,20,
9,9,10,21,
9,9,20,21,
10,10,11,22,
10,10,21,22,
11,11,12,23,
11,11,22,23,
12,12,13,24,
12,12,23,24,
13,13,14,25,
13,13,24,25,
14,14,15,26,
14,14,25,26,
15,15,16,27,
15,15,26,27,
16,16,17,28,
16,16,27,28,
17,17,18,29,
17,17,28,29,
18,18,19,30,
18,18,29,30,
19,19,20,31,
19,19,30,31,
20,20,21,32,
20,20,31,32,
21,21,22,33,
21,21,32,33,
22,22,23,34,
22,22,33,34,
23,23,24,35,
23,23,34,35,
24,24,25,36,
24,24,35,36,
25,25,26,37,
25,25,36,37,
26,26,27,38,
26,26,37,38,
27,27,28,39,
27,27,38,39,
28,28,29,40,
28,28,39,40,
29,29,30,41,
29,29,40,41,
30,30,31,42,
30,30,41,42,
31,31,32,43,
31,31,42,43,
32,32,33,44,
32,32,43,44,
33,33,34,45,
33,33,44,45,
34,34,35,46,
34,34,45,46,
35,35,36,47,
35,35,46,47,
36,36,37,48,
36,36,47,48,
37,37,38,49,
37,37,48,49,
38,38,39,50,
38,38,49,50,
39,39,40,51,
39,39,50,51,
40,40,41,52,
40,40,51,52,
41,41,42,53,
41,41,52,53,
42,42,43,54,
42,42,53,54,
43,43,44,55,
43,43,54,55,
44,44,45,56,
44,44,55,56,
45,45,46,57,
45,45,56,57,
46,46,47,58,
46,46,57,58,
47,47,48,59,
47,47,58,59,
48,48,49,60,
48,48,59,60,
49,49,50,61,
49,49,60,61,
50,50,51,62,
50,50,61,62,
51,51,52,63,
51,51,62,63,
52,52,53,64,
52,52,63,64,
53,53,54,65,
53,53,64,65,
54,54,55,66,
54,54,65,66,
2,1,2,3,
3,1,3,4,
4,1,4,5,
5,1,5,6,
6,1,6,7,
7,1,7,8,
8,1,8,9,
9,1,9,10,
10,1,10,11,
55,67,55,56,
56,67,56,57,
57,67,57,58,
58,67,58,59,
59,67,59,60,
60,67,60,61,
61,67,61,62,
62,67,62,63,
63,67,63,64,
64,67,64,65,
65,67,65,66,
